school,week_start,week_end,lead_target,lead_actual,spend_target,spend_actual,cpa_target,cpa_actual
BCS,2026-01-05,2026-01-11,4.43,10.92,3613.11,4425.23,814.72,405.24
BCS,2026-01-12,2026-01-18,4.43,3.93,3613.11,4611.62,814.72,1173.44
BCS,2026-01-19,2026-01-25,4.43,2.5,3613.11,4332.89,814.72,1733.16
BCS,2026-01-26,2026-02-01,4.43,9.15,3613.11,3676.46,814.72,401.8
BCS,2026-02-02,2026-02-08,4.43,6.95,3613.11,5553.6,814.72,799.08
BCS,2026-02-09,2026-02-15,4.43,3.92,3613.11,4853.36,814.72,1238.1
BCS,2026-02-16,2026-02-22,4.43,3.98,3613.11,4602.46,814.72,1156.4
BCS,2026-02-23,2026-03-01,4.43,2.0,3613.11,3257.77,814.72,1628.88
BCS,2026-03-02,2026-03-08,4.43,9.0,3613.11,2782.03,814.72,309.11
BCS,2026-03-09,2026-03-15,4.43,5.0,3613.11,3034.61,814.72,606.92
BCS,2026-03-16,2026-03-22,4.43,2.94,3613.11,2343.32,814.72,797.05
BCS,2026-03-23,2026-03-29,4.43,4.92,3613.11,2302.57,814.72,468.0
BCS,2026-03-30,2026-04-05,4.43,2.0,3613.11,2972.24,814.72,1486.12
BCS,2026-04-06,2026-04-12,4.43,8.0,3613.11,3742.85,814.72,467.86
BCS,2026-04-13,2026-04-19,4.43,3.0,3613.11,3428.95,814.72,1142.98
BCS,2026-04-20,2026-04-26,4.43,3.0,3613.11,3376.1,814.72,1125.37
BCS,2026-04-27,2026-05-03,4.43,3.0,3613.11,3951.8,814.72,1317.27
BCS,2026-05-04,2026-05-10,4.43,3.0,3613.11,3360.28,814.72,1120.09
BCS,2026-05-11,2026-05-17,4.43,4.0,3613.11,3525.77,814.72,881.44
BCS,2026-05-18,2026-05-24,4.43,5.0,3613.11,3883.53,814.72,776.71
BCS,2026-05-25,2026-05-31,4.43,3.01,3613.11,3036.04,814.72,1008.65
BCS,2026-06-01,2026-06-07,12.1,0.03,3991.77,2762.7,329.9,92090.0
BCS,2026-06-08,2026-06-14,12.1,22.18,3991.77,3273.61,329.9,147.59
BCS,2026-06-15,2026-06-21,12.1,27.69,3991.77,3050.39,329.9,110.16
BCS,2026-06-22,2026-06-28,12.1,7.1,3991.77,5676.75,329.9,799.54
BCS,2026-06-29,2026-07-05,12.1,12.81,3991.77,5422.57,329.9,423.31
BCS,2026-07-06,2026-07-12,12.1,10.86,3991.77,6738.91,329.9,620.53
AIS,2026-06-08,2026-06-14,41.27,10.21,15736.44,10018.41,381.3,981.24
AIS,2026-06-15,2026-06-21,41.27,55.83,15736.44,18102.28,381.3,324.24
AIS,2026-06-22,2026-06-28,41.27,56.74,15736.44,20448.66,381.3,360.39
AIS,2026-06-29,2026-07-05,41.27,45.93,15736.44,22254.71,381.3,484.54
AIS,2026-07-06,2026-07-12,41.27,50.13,15736.44,18510.91,381.3,369.26
ISHCMC,2026-06-08,2026-06-14,13.63,19.09,840.53,446.13,61.67,23.37
ISHCMC,2026-06-15,2026-06-21,13.63,17.67,840.53,684.86,61.67,38.76
ISHCMC,2026-06-22,2026-06-28,13.63,11.18,840.53,1123.43,61.67,100.49
ISHCMC,2026-06-29,2026-07-05,13.63,12.43,840.53,1269.3,61.67,102.12
ISHCMC,2026-07-06,2026-07-12,13.63,12.82,840.53,1322.0,61.67,103.12
SAIS,2026-06-08,2026-06-14,116.59,48.69,5794.33,1096.46,49.7,22.52
SAIS,2026-06-15,2026-06-21,116.59,167.49,5794.33,2067.66,49.7,12.34
SAIS,2026-06-22,2026-06-28,116.59,148.42,5794.33,10459.78,49.7,70.47
SAIS,2026-06-29,2026-07-05,116.59,119.24,5794.33,9419.51,49.7,79.0
SAIS,2026-07-06,2026-07-12,116.59,141.34,5794.33,9964.38,49.7,70.5
